lid,oid,primary_loc,location_name,comments,address,address2,city,state,zipcode,county,country,match_addr,side,ref_id,geographic_location
97143,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E610000083A5BA80977452C02DEC6987BF624540
1667,10851,t,Chester's Community Grocery Co-Op,\N,512 Avenue of the States,,Chester,PA,19103,\N,USA,\N,\N,\N,0101000020E610000008AD872F13D752C0294014CC98EC4340
1668,10852,t,Creekside Co-op,\N,7909 High School Road,,Elkins Park,PA,19027,\N,USA,\N,\N,\N,0101000020E61000009CF9D51C20C852C0F698486936094440
97144,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E6100000BEF8A23D5E7D52C078EE3D5C72664540
97145,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E6100000F92CCF83BB7552C01F679AB0FD824540
97146,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E6100000F6984869366D52C00EA0DFF76F5C4540
97147,77452,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,6OFrBn http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,\N
97148,77453,\N,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E6100000C5CBD3B9A2C856C0F8A8BF5E61893E40
97149,77453,\N,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,0101000020E61000004F92AE997CC456C0DD60A8C30A6B3E40
97150,77453,\N,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,kIHVGN http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,\N,\N,\N,\N
